Initiative,Responsible Structure,Responsible Envelope,Responsible Systems,Responsible Finishes
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Climate Active Carbon Neutral for Products & Services",Best practice,Best practice,Best practice,Best practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Declare 2.0 - Declared",Good practice,Good practice,Good practice,Good practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Declare 2.0 - Red List Approved",Best practice,Best practice,Best practice,Best practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Declare 2.0 - Red List Free",Best practice,Best practice,Best practice,Best practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Environmental Product Declaration (EPD) - Industry-Wide",Good practice,Good practice,Best practice,Good practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Environmental Product Declaration (EPD) - Product-Specific",Good practice,Good practice,Best practice,Best practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Global GreenTag GreenRate Level A",Good practice,Good practice,Best practice,Best practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Global GreenTag GreenRate Level B",Good practice,Good practice,Best practice,Good practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Global GreenTag GreenRate Level C",Good practice,Good practice,Best practice,Good practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Global GreenTag HealthRATE - Bronze",Good practice,Good practice,Best practice,Good practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Global GreenTag HealthRATE - Gold",Best practice,Best practice,Best practice,Best practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Global GreenTag HealthRATE - Platinum",Best practice,Best practice,Best practice,Best practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Global GreenTag HealthRATE - Silver",Good practice,Good practice,Best practice,Good practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017) + Global GreenTag Product Health Declaration",Good practice,Good practice,Best practice,Good practice
GECA Hard Surfacing (HSv2.0i-2019),Good practice,Good practice,Best practice,Good practice
GECA Hard Surfacing (HSv2.0i-2019) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Global GreenTag GreenRate Level C,Good practice,Good practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Best practice,Best practice
GECA Hard Surfacing (HSv2.0i-2019) + Global GreenTag Product Health Declaration,Good practice,Good practice,Best practice,Best practice
GECA Paints and Coatings (PC v2.3i-2012),Tier not met,Tier not met,Good practice,Good practice
GECA Paints and Coatings (PC v2.3i-2012) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
GECA Paints and Coatings (PC v2.3i-2012) + Declare 2.0 - Declared,Good practice,Good practice,Good practice,Good practice
GECA Paints and Coatings (PC v2.3i-2012) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
GECA Paints and Coatings (PC v2.3i-2012) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
GECA Paints and Coatings (PC v2.3i-2012) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Good practice,Good practice
GECA Paints and Coatings (PC v2.3i-2012) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
GECA Paints and Coatings (PC v2.3i-2012) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Good practice
GECA Paints and Coatings (PC v2.3i-2012) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Good practice
GECA Paints and Coatings (PC v2.3i-2012) + Global GreenTag GreenRate Level C,Tier not met,Tier not met,Good practice,Good practice
GECA Paints and Coatings (PC v2.3i-2012) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Good practice,Good practice
GECA Paints and Coatings (PC v2.3i-2012) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
GECA Paints and Coatings (PC v2.3i-2012) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
GECA Paints and Coatings (PC v2.3i-2012) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Good practice,Good practice
GECA Paints and Coatings (PC v2.3i-2012) + Global GreenTag Product Health Declaration,Good practice,Good practice,Good practice,Good practice
GECA Panel Boards (PB v3.0-2021),Good practice,Good practice,Good practice,Good practice
GECA Panel Boards (PB v3.0-2021) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Global GreenTag GreenRate Level C,Good practice,Good practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Best practice,Best practice
GECA Panel Boards (PB v3.0-2021) + Global GreenTag Product Health Declaration,Good practice,Good practice,Best practice,Best practice
GECA Recycled Products (RPv1.0ii-2015),Tier not met,Tier not met,Good practice,Good practice
GECA Recycled Products (RPv1.0ii-2015) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
GECA Recycled Products (RPv1.0ii-2015) + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Good practice
GECA Recycled Products (RPv1.0ii-2015) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
GECA Recycled Products (RPv1.0ii-2015) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
GECA Recycled Products (RPv1.0ii-2015) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Good practice
GECA Recycled Products (RPv1.0ii-2015) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
GECA Recycled Products (RPv1.0ii-2015) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
GECA Recycled Products (RPv1.0ii-2015) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Good practice
GECA Recycled Products (RPv1.0ii-2015) + Global GreenTag GreenRate Level C,Good practice,Good practice,Best practice,Good practice
GECA Recycled Products (RPv1.0ii-2015) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Best practice,Good practice
GECA Recycled Products (RPv1.0ii-2015) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
GECA Recycled Products (RPv1.0ii-2015) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
GECA Recycled Products (RPv1.0ii-2015) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Best practice,Good practice
GECA Recycled Products (RPv1.0ii-2015) + Global GreenTag Product Health Declaration,Good practice,Good practice,Best practice,Good practice
GECA Steel and Steel Products (SSP v1.0i-2019),Good practice,Good practice,Good practice,Good practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Global GreenTag GreenRate Level C,Good practice,Good practice,Best practice,Good practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Best practice,Best practice
GECA Steel and Steel Products (SSP v1.0i-2019) + Global GreenTag Product Health Declaration,Good practice,Good practice,Best practice,Best practice
GECA Sustainable Products and Services (SPSv2.0i-2020),Tier not met,Tier not met,Good practice,Good practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Declare 2.0 - Declared,Good practice,Good practice,Good practice,Good practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Good practice,Good practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Best practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Global GreenTag GreenRate Level C,Good practice,Good practice,Good practice,Good practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Good practice,Good practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Good practice,Good practice
GECA Sustainable Products and Services (SPSv2.0i-2020) + Global GreenTag Product Health Declaration,Good practice,Good practice,Good practice,Good practice
Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Good practice
Global GreenTag GreenRate Level A + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Global GreenTag GreenRate Level A + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Best practice
Global GreenTag GreenRate Level A + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
Global GreenTag GreenRate Level A + Declare 2.0 - Red List Free,Best practice,Best practice,Good practice,Good practice
Global GreenTag GreenRate Level A + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
Global GreenTag GreenRate Level A + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
Global GreenTag GreenRate Level B,Tier not met,Tier not met,Tier not met,Tier not met
Global GreenTag GreenRate Level B + Climate Active Carbon Neutral for Products & Services,Good practice,Good practice,Best practice,Good practice
Global GreenTag GreenRate Level B + Declare 2.0 - Declared,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag GreenRate Level B + Declare 2.0 - Red List Approved,Good practice,Good practice,Best practice,Best practice
Global GreenTag GreenRate Level B + Declare 2.0 - Red List Free,Good practice,Good practice,Best practice,Best practice
Global GreenTag GreenRate Level B + Environmental Product Declaration (EPD) - Industry-Wide,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag GreenRate Level B + Environmental Product Declaration (EPD) - Product-Specific,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag GreenRate Level C,Tier not met,Tier not met,Tier not met,Tier not met
Global GreenTag GreenRate Level C + Climate Active Carbon Neutral for Products & Services,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag GreenRate Level C + Declare 2.0 - Declared,Tier not met,Tier not met,Tier not met,Tier not met
Global GreenTag GreenRate Level C + Declare 2.0 - Red List Approved,Good practice,Good practice,Good practice,Good practice
Global GreenTag GreenRate Level C + Declare 2.0 - Red List Free,Good practice,Good practice,Good practice,Good practice
Global GreenTag GreenRate Level C + Environmental Product Declaration (EPD) - Industry-Wide,Tier not met,Tier not met,Tier not met,Tier not met
Global GreenTag GreenRate Level C + Environmental Product Declaration (EPD) - Product-Specific,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag HealthRATE - Bronze,Tier not met,Tier not met,Tier not met,Tier not met
Global GreenTag HealthRATE - Bronze + Climate Active Carbon Neutral for Products & Services,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Bronze + Declare 2.0 - Declared,Tier not met,Tier not met,Tier not met,Tier not met
Global GreenTag HealthRATE - Bronze + Declare 2.0 - Red List Approved,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Bronze + Declare 2.0 - Red List Free,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Bronze + Environmental Product Declaration (EPD) - Industry-Wide,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag HealthRATE - Bronze + Environmental Product Declaration (EPD) - Product-Specific,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag HealthRATE - Bronze + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Bronze + Global GreenTag GreenRate Level B,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag HealthRATE - Bronze + Global GreenTag GreenRate Level C,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag HealthRATE - Gold,Good practice,Good practice,Good practice,Good practice
Global GreenTag HealthRATE - Gold + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Global GreenTag HealthRATE - Gold + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Gold + Declare 2.0 - Red List Approved,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Gold + Declare 2.0 - Red List Free,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Gold + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Gold + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Gold + Global GreenTag GreenRate Level A,Best practice,Best practice,Best practice,Best practice
Global GreenTag HealthRATE - Gold + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Gold + Global GreenTag GreenRate Level C,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Platinum,Good practice,Good practice,Good practice,Good practice
Global GreenTag HealthRATE - Platinum + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Global GreenTag HealthRATE - Platinum + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Platinum + Declare 2.0 - Red List Approved,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Platinum + Declare 2.0 - Red List Free,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Platinum + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Platinum + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Platinum + Global GreenTag GreenRate Level A,Best practice,Best practice,Best practice,Best practice
Global GreenTag HealthRATE - Platinum + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Platinum + Global GreenTag GreenRate Level C,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Silver,Tier not met,Tier not met,Tier not met,Tier not met
Global GreenTag HealthRATE - Silver + Climate Active Carbon Neutral for Products & Services,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Silver + Declare 2.0 - Declared,Tier not met,Tier not met,Good practice,Tier not met
Global GreenTag HealthRATE - Silver + Declare 2.0 - Red List Approved,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Silver + Declare 2.0 - Red List Free,Good practice,Good practice,Best practice,Good practice
Global GreenTag HealthRATE - Silver + Environmental Product Declaration (EPD) - Industry-Wide,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag HealthRATE - Silver + Environmental Product Declaration (EPD) - Product-Specific,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag HealthRATE - Silver + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
Global GreenTag HealthRATE - Silver + Global GreenTag GreenRate Level B,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag HealthRATE - Silver + Global GreenTag GreenRate Level C,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag Product Health Declaration,Tier not met,Tier not met,Tier not met,Tier not met
Global GreenTag Product Health Declaration + Climate Active Carbon Neutral for Products & Services,Good practice,Good practice,Best practice,Best practice
Global GreenTag Product Health Declaration + Declare 2.0 - Declared,Tier not met,Tier not met,Good practice,Tier not met
Global GreenTag Product Health Declaration + Declare 2.0 - Red List Approved,Good practice,Good practice,Best practice,Good practice
Global GreenTag Product Health Declaration + Declare 2.0 - Red List Free,Good practice,Good practice,Best practice,Good practice
Global GreenTag Product Health Declaration + Environmental Product Declaration (EPD) - Industry-Wide,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag Product Health Declaration + Environmental Product Declaration (EPD) - Product-Specific,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag Product Health Declaration + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
Global GreenTag Product Health Declaration + Global GreenTag GreenRate Level B,Tier not met,Tier not met,Good practice,Good practice
Global GreenTag Product Health Declaration + Global GreenTag GreenRate Level C,Tier not met,Tier not met,Good practice,Good practice
Living Product Challenge 2.0 - Full Certification,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Declare 2.0 - Declared,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Environmental Product Declaration (EPD) - Industry-Wide,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Global GreenTag GreenRate Level A,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Global GreenTag GreenRate Level B,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Global GreenTag GreenRate Level C,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Global GreenTag HealthRATE - Bronze,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Global GreenTag HealthRATE - Silver,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Full Certification + Global GreenTag Product Health Declaration,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Declare 2.0 - Declared,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Environmental Product Declaration (EPD) - Industry-Wide,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Global GreenTag GreenRate Level A,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Global GreenTag GreenRate Level B,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Global GreenTag GreenRate Level C,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Global GreenTag HealthRATE - Bronze,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Global GreenTag HealthRATE - Silver,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Imperative Challenge + Global GreenTag Product Health Declaration,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Declare 2.0 - Declared,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Environmental Product Declaration (EPD) - Industry-Wide,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Global GreenTag GreenRate Level A,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Global GreenTag GreenRate Level B,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Global GreenTag GreenRate Level C,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Global GreenTag HealthRATE - Bronze,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Global GreenTag HealthRATE - Silver,Best practice,Best practice,Best practice,Best practice
Living Product Challenge 2.0 - Petal Certification + Global GreenTag Product Health Declaration,Best practice,Best practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021),Good practice,Good practice,Best practice,Good practice
Responsible Wood (AS-NZS 4708:2021) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Global GreenTag GreenRate Level C,Good practice,Good practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Best practice,Best practice
Responsible Wood (AS-NZS 4708:2021) + Global GreenTag Product Health Declaration,Good practice,Good practice,Best practice,Best practice
Reused products or building components,Best practice,Best practice,Best practice,Best practice
Vinyl Council of Australia Best practice PVC,Tier not met,Tier not met,Tier not met,Tier not met
